symbol,date,market cap
AAPL,2015-01-22,654701675200
AAPL,2015-01-29,692562537200
AAPL,2015-02-05,698620275100
AAPL,2015-02-12,736597632100
AAPL,2015-02-19,748188880600
AAPL,2015-02-26,759634510400
AAPL,2015-03-05,736306394700
AAPL,2015-03-12,724889888600
AAPL,2015-03-19,742626246300
AAPL,2015-03-26,723666691500
AAPL,2015-04-02,722128679000
AAPL,2015-04-09,729273903700
AAPL,2015-04-16,726869155100
AAPL,2015-04-23,747032760100
AAPL,2015-04-30,720992904500
AAPL,2015-05-07,721626617800
AAPL,2015-05-14,742884818500
AAPL,2015-05-21,756941731700
AAPL,2015-05-28,759188533400
AAPL,2015-06-04,745246840800
AAPL,2015-06-11,740810847700
AAPL,2015-06-18,736720516400
AAPL,2015-06-25,734531325000
AAPL,2015-07-02,721390776000
AAPL,2015-07-09,685047378000
AAPL,2015-07-16,732856804200
AAPL,2015-07-23,713752685500
AAPL,2015-07-30,697842091100
AAPL,2015-08-06,656554383900
AAPL,2015-08-13,656668438300
AAPL,2015-08-20,642411633300
AAPL,2015-08-27,643951368200
AAPL,2015-09-03,629409427100
AAPL,2015-09-10,641955415500
AAPL,2015-09-17,649654090200
AAPL,2015-09-24,655813030000
AAPL,2015-10-01,611319753700
AAPL,2015-10-08,610873453500
AAPL,2015-10-15,623656525700
AAPL,2015-10-22,643950730500
AAPL,2015-10-29,671994645400
AAPL,2015-11-05,674169024500
AAPL,2015-11-12,645177303300
AAPL,2015-11-19,662237816200
AAPL,2015-11-27,656829745100
AAPL,2015-12-04,663631648900
AAPL,2015-12-11,631015962600
AAPL,2015-12-18,591152345900
AAPL,2015-12-28,592262101300
AAPL,2016-01-04,584111705400
AAPL,2016-01-11,546307763000
AAPL,2016-01-19,535939392800
AAPL,2016-01-26,554402854200
AAPL,2016-02-02,523852201800
AAPL,2016-02-09,526679939200
AAPL,2016-02-16,535828501100
AAPL,2016-02-23,525016564300
AAPL,2016-03-01,557396929000
AAPL,2016-03-08,560169220500
AAPL,2016-03-15,579852490100
AAPL,2016-03-22,591717897800
AAPL,2016-03-29,589919065300
AAPL,2016-04-05,601588155300
AAPL,2016-04-12,604926817000
AAPL,2016-04-19,585591506800
AAPL,2016-04-26,571569298800
AAPL,2016-05-03,521341311500
AAPL,2016-05-10,511701043500
AAPL,2016-05-12,494830574500
AAPL,2016-05-19,515973435000
AAPL,2016-05-26,549988244200
AAPL,2016-06-02,535253971000
AAPL,2016-06-09,545825401200
AAPL,2016-06-16,534322808800
AAPL,2016-06-23,526380542500
AAPL,2016-06-30,515586574000
AAPL,2016-07-07,517420250100
AAPL,2016-07-14,532790770400
AAPL,2016-07-21,535772887500
AAPL,2016-07-28,562230142600
AAPL,2016-08-04,570474460400
AAPL,2016-08-11,581574653000
AAPL,2016-08-18,587771362400
AAPL,2016-08-25,579634813500
AAPL,2016-09-01,575108521400
AAPL,2016-09-08,568588505400
AAPL,2016-09-15,622742357500
AAPL,2016-09-22,617623336700
AAPL,2016-09-29,598611101900
AAPL,2016-10-06,607735945700
AAPL,2016-10-13,624224698700
AAPL,2016-10-20,624200559800
AAPL,2016-10-27,610443192200
AAPL,2016-11-03,585647936800
AAPL,2016-11-10,574770018300
AAPL,2016-11-17,586287814400
AAPL,2016-11-25,596099270300
AAPL,2016-12-02,586021198700
AAPL,2016-12-09,607617066400
AAPL,2016-12-16,618388338600
AAPL,2016-12-23,621321110800
AAPL,2016-12-30,608960249100
AAPL,2017-01-06,619666925900
AAPL,2017-01-13,625605553900
AAPL,2017-01-20,629584800000
AAPL,2017-01-27,639815553000
AAPL,2017-02-03,677223383200
AAPL,2017-02-10,693172864800
AAPL,2017-02-17,712060408800
AAPL,2017-02-24,716992156400
AAPL,2017-03-03,733361361200
AAPL,2017-03-10,730003575600
AAPL,2017-03-17,734463134600
AAPL,2017-03-24,737873385600
AAPL,2017-03-31,753717936400
AAPL,2017-04-07,746201522100
AAPL,2017-04-17,738340741400
AAPL,2017-04-24,748915977600
AAPL,2017-05-01,764244667200
AAPL,2017-05-08,797769658400
AAPL,2017-05-15,811794888000
AAPL,2017-05-22,802879221600
AAPL,2017-05-30,801210792800
AAPL,2017-06-06,805277588000
AAPL,2017-06-13,764296805600
AAPL,2017-06-20,756058938400
AAPL,2017-06-27,749385223200
AAPL,2017-07-05,744913888400
AAPL,2017-07-12,753444028700
AAPL,2017-07-19,780740477600
AAPL,2017-07-26,792655888900
AAPL,2017-08-02,811663927900
AAPL,2017-08-09,831911621700
AAPL,2017-08-16,831343446600
AAPL,2017-08-23,826333175400
AAPL,2017-08-30,843739993800
AAPL,2017-09-06,836302065500
AAPL,2017-09-13,824628650200
AAPL,2017-09-20,806137134000
AAPL,2017-09-27,796633114400
AAPL,2017-10-04,786769329500
AAPL,2017-10-11,802506766600
AAPL,2017-10-18,818961871800
AAPL,2017-10-25,803057739900
AAPL,2017-11-01,856865329700
AAPL,2017-11-08,904871146900
AAPL,2017-11-15,868109473000
AAPL,2017-11-22,898299227500
AAPL,2017-11-29,870163197800
AAPL,2017-12-06,867750071100
AAPL,2017-12-13,884487928200
AAPL,2017-12-20,886928213600
AAPL,2017-12-27,867851753600
AAPL,2018-01-03,875212751700
AAPL,2018-01-10,885680952800
AAPL,2018-01-17,910123694100
AAPL,2018-01-24,883994544900
AAPL,2018-01-31,849541996600
AAPL,2018-02-07,809508034000
AAPL,2018-02-14,849237555800
AAPL,2018-02-21,868011403900
AAPL,2018-02-28,903783195600
AAPL,2018-03-07,888104495400
AAPL,2018-03-14,905406879700
AAPL,2018-03-21,869026206500
AAPL,2018-03-28,844721684200
AAPL,2018-04-04,848316624000
AAPL,2018-04-11,852419548100
AAPL,2018-04-18,879113270900
AAPL,2018-04-25,804362333700
AAPL,2018-05-02,867865916700
AAPL,2018-05-09,920900255700
AAPL,2018-05-16,924930668800
AAPL,2018-05-23,925815393700
AAPL,2018-05-30,921588375000
AAPL,2018-06-06,953438469200
AAPL,2018-06-13,937316816600
AAPL,2018-06-20,916673237000
AAPL,2018-06-27,905171814100
AAPL,2018-07-05,897876811800
AAPL,2018-07-12,925142434500
AAPL,2018-07-19,929258914000
AAPL,2018-07-26,938019928500
AAPL,2018-08-02,1001678353100
AAPL,2018-08-09,1008874942900
AAPL,2018-08-16,1030319814300
AAPL,2018-08-23,1040800753700
AAPL,2018-08-30,1086878247800
AAPL,2018-09-06,1077556490600
AAPL,2018-09-13,1093543545700
AAPL,2018-09-20,1062728617800
AAPL,2018-09-27,1086491853700
AAPL,2018-10-04,1084089258100
AAPL,2018-10-11,1019706747700
AAPL,2018-10-18,1027172075700
AAPL,2018-10-25,1045145922800
AAPL,2018-11-01,1054522343600
AAPL,2018-11-08,989368029000
AAPL,2018-11-15,908316631200
AAPL,2018-11-23,817584621400
AAPL,2018-11-30,847433174800
AAPL,2018-12-07,799552109000
AAPL,2018-12-14,785268461000
AAPL,2018-12-21,715273840500
AAPL,2018-12-28,741373529500
AAPL,2019-01-04,701240592800
AAPL,2019-01-11,720301698900
AAPL,2019-01-18,739450209600
AAPL,2019-01-25,743882572800
AAPL,2019-02-01,785188425600
AAPL,2019-02-08,803530864800
AAPL,2019-02-15,803578017600
AAPL,2019-02-22,815601981600
AAPL,2019-03-01,825032541600
AAPL,2019-03-08,815319064800
AAPL,2019-03-15,877607913600
AAPL,2019-03-22,900854244000
AAPL,2019-03-29,895667436000
AAPL,2019-04-05,907634948000
AAPL,2019-04-12,916250569100
AAPL,2019-04-22,941057869800
AAPL,2019-04-29,941425955800
AAPL,2019-05-06,959232116000
AAPL,2019-05-13,854511649000
AAPL,2019-05-20,842410821800
AAPL,2019-05-28,820049597200
AAPL,2019-06-04,826537113000
AAPL,2019-06-11,896335420800
AAPL,2019-06-18,913083333800
